转发数	评论数	点赞数	字数	类别
20	54	32	0 	活泼
28	54	56	118 	活泼
6	38	34	0 	活泼
2	19	20	0 	活泼
18	129	78	111 	活泼
2	36	31	120 	正经
8	13	24	60 	正经
3 	64 	47 	64 	正经
19 	71 	191 	22 	正经
35 	101 	236 	117 	活泼
5 	112 	125 	127 	活泼
1 	9 	18 	115 	正经
3 	21 	15 	120 	正经
5 	76 	52 	19 	活泼
18 	84 	143 	21 	活泼
2 	52 	74 	5 	正经
1 	56 	29 	19 	活泼
5 	76 	36 	43 	正经
0 	71 	37 	34 	正经
6 	36 	22 	103 	正经
4 	16 	25 	69 	正经
25 	98 	45 	42 	活泼
6 	52 	34 	46 	正经
17 	66 	107 	0 	活泼
0 	4 	9 	93 	正经
4 	25 	24 	137 	正经
75 	60 	84 	0 	活泼
13 	97 	47 	55 	正经
17 	88 	131 	46 	活泼
8 	65 	46 	101 	正经
15 	40 	35 	214 	正经
7 	63 	41 	42 	正经
4 	52 	42 	118 	正经
5 	11 	38 	68 	正经
13 	121 	72 	27 	活泼
3 	97 	102 	53 	正经
1 	17 	11 	125 	正经
4 	19 	18 	129 	正经
2 	19 	11 	83 	正经
5 	81 	40 	66 	活泼
2 	82 	48 	64 	活泼
18 	172 	56 	70 	活泼
4 	51 	50 	137 	活泼
5 	10 	32 	74 	正经
12 	215 	79 	72 	活泼
1 	48 	48 	64 	活泼
0 	27 	15 	90 	正经
8 	109 	46 	191 	活泼
2 	35 	26 	140 	正经
7 	100 	45 	35 	活泼
3 	92 	65 	43 	活泼
10 	97 	54 	69 	活泼
5 	48 	32 	108 	正经
7 	12 	25 	76 	正经
2 	50 	34 	0 	活泼
9 	92 	49 	34 	活泼
9 	24 	96 	0 	正经
0 	13 	15 	108 	正经
10 	37 	40 	141 	正经
113 	34 	257 	0 	活泼
5 	20 	77 	0 	活泼
14 	21 	53 	0 	活泼
8 	31 	70 	79 	正经
21 	56 	97 	0 	活泼
8 	54 	53 	68 	正经
13 	80 	70 	45 	正经
8 	42 	35 	134 	正经
5 	9 	25 	76 	正经
12 	86 	83 	69 	活泼
32 	115 	250 	50 	正经
0 	24 	27 	138 	正经
10 	43 	58 	64 	活泼
0 	16 	16 	99 	正经
5 	30 	31 	73 	活泼
7 	20 	26 	138 	正经
16 	54 	77 	37 	活泼
96 	150 	159 	43 	活泼
13 	35 	141 	0 	活泼
3 	79 	40 	134 	活泼
1 	155 	45 	33 	活泼
3 	62 	54 	74 	正经
5 	52 	59 	44 	正经
6 	35 	30 	111 	正经
10 	22 	34 	74 	正经
21 	51 	76 	0 	正经
22 	130 	117 	14 	活泼
0 	23 	23 	115 	正经
5 	49 	21 	110 	正经
13 	138 	73 	57 	活泼
4 	66 	52 	42 	活泼
3 	149 	78 	20 	活泼
11 	90 	76 	48 	活泼
3 	51 	38 	70 	活泼
5 	41 	71 	55 	活泼
3 	15 	36 	128 	正经
10 	137 	92 	100 	正经
26 	73 	93 	0 	活泼
16 	128 	103 	144 	活泼
0 	26 	16 	99 	正经
5 	35 	25 	138 	正经
41 	98 	120 	36 	活泼
4 	81 	34 	55 	正经
14 	80 	98 	86 	活泼
18 	243 	116 	60 	活泼
11 	128 	90 	64 	活泼
4 	27 	31 	124 	正经
4 	13 	27 	70 	正经
5 	105 	137 	14 	正经
4 	86 	62 	52 	活泼
0 	24 	20 	96 	正经
4 	44 	23 	148 	正经
5 	21 	34 	0 	正经
3 	94 	56 	25 	活泼
21 	142 	80 	12 	活泼
3 	38 	22 	191 	正经
2 	86 	29 	16 	活泼
13 	75 	48 	137 	正经
3 	57 	31 	126 	正经
5 	10 	29 	74 	正经
11 	118 	73 	0 	活泼
9 	142 	91 	7 	正经
11 	28 	55 	117 	活泼
0 	22 	20 	98 	正经
6 	29 	12 	138 	正经
1 	30 	43 	0 	活泼
2 	166 	42 	36 	活泼
4 	112 	28 	84 	正经
8 	43 	14 	50 	正经
3 	54 	23 	78 	活泼
7 	52 	48 	85 	正经
4 	15 	41 	138 	正经
4 	14 	28 	81 	正经
1 	56 	31 	0 	活泼
8 	63 	53 	133 	活泼
1 	86 	55 	50 	活泼
5 	67 	30 	52 	正经
2 	14 	25 	57 	正经
0 	31 	13 	138 	正经
9 	69 	74 	64 	正经
2 	21 	17 	138 	正经
3 	124 	29 	49 	正经
17 	219 	98 	54 	活泼
8 	236 	57 	61 	正经
9 	187 	43 	15 	活泼
13 	89 	34 	52 	活泼
2 	39 	24 	100 	正经
3 	57 	33 	41 	活泼
7 	122 	71 	72 	活泼
6 	101 	37 	26 	活泼
2 	70 	72 	49 	活泼
1 	8 	11 	61 	正经
3 	30 	33 	15 	活泼
14 	66 	36 	117 	正经
9 	43 	36 	76 	正经
6 	12 	40 	138 	正经
6 	12 	25 	75 	正经
4 	50 	40 	42 	正经
0 	13 	19 	84 	正经
8 	86 	124 	51 	活泼
0 	4 	13 	102 	正经
5 	12 	22 	137 	正经
6 	17 	39 	0 	活泼
14 	22 	55 	0 	活泼
4 	69 	76 	43 	正经
16 	80 	190 	57 	活泼
3 	126 	95 	57 	活泼
7 	24 	22 	72 	正经
3 	6 	23 	105 	正经
3 	6 	19 	73 	正经
18 	51 	152 	0 	活泼
32 	43 	90 	0 	活泼
11 	89 	121 	108 	活泼
0 	7 	15 	114 	正经
4 	27 	40 	0 	活泼
3 	12 	22 	138 	正经
12 	27 	96 	0 	活泼
18 	63 	65 	75 	活泼
24 	102 	105 	29 	活泼
2 	38 	35 	0 	活泼
13 	73 	50 	14 	活泼
2 	12 	29 	0 	正经
4 	127 	58 	26 	正经
4 	27 	31 	118 	正经
2 	15 	29 	62 	活泼
