3U5199,中国东方航空股份有限公司,2020/02/05 21:35:00,--,西安咸阳,2020/02/05 23:55:00,--,杭州萧山,取消
3U5202,中国东方航空股份有限公司,2020/02/05 12:00:00,--,常州奔牛,2020/02/05 15:15:00,--,成都双流,取消
3U5203,中国东方航空股份有限公司,2020/02/05 14:10:00,2020/02/05 14:13:00,无锡硕放,2020/02/05 16:45:00,2020/02/05 16:41:00,重庆江北,到达
3U5206,中国东方航空股份有限公司,2020/02/05 21:20:00,--,重庆江北,2020/02/05 23:55:00,--,上海虹桥,取消
3U606,四川航空股份有限公司,2020/02/05 07:00:00,--,重庆江北,2020/02/05 11:10:00,--,乌鲁木齐地窝堡,取消
3U8246,--,2020/02/05 11:00:00,--,合肥新桥,2020/02/05 14:10:00,--,昆明长水,取消
3U8437,--,2020/02/05 08:55:00,--,西安咸阳,2020/02/05 12:05:00,--,深圳宝安,取消
3U8438,--,2020/02/05 13:25:00,--,深圳宝安,2020/02/05 16:15:00,--,西安咸阳,取消
3U8506,四川航空股份有限公司,2020/02/05 20:15:00,2020/02/05 20:08:00,福州长乐,2020/02/05 22:55:00,2020/02/05 22:23:00,重庆江北,到达
3U8509,--,2020/02/05 06:35:00,--,重庆江北,2020/02/05 08:20:00,--,郑州新郑,取消
3U8510,--,2020/02/05 09:20:00,--,郑州新郑,2020/02/05 11:15:00,--,重庆江北,取消
3U8513,--,2020/02/05 06:40:00,--,昆明长水,2020/02/05 08:15:00,--,重庆江北,取消
3U8514,--,2020/02/05 12:10:00,--,兰州中川,2020/02/05 13:55:00,--,重庆江北,取消
3U8514,--,2020/02/05 15:00:00,--,重庆江北,2020/02/05 16:30:00,--,昆明长水,取消
3U8525,--,2020/02/05 08:15:00,--,成都双流,2020/02/05 11:55:00,--,乌鲁木齐地窝堡,取消
3U8525,--,2020/02/05 08:15:00,--,成都双流,2020/02/05 14:55:00,--,喀什,取消
3U8525,--,2020/02/05 12:55:00,--,乌鲁木齐地窝堡,2020/02/05 14:55:00,--,喀什,取消
3U8528,--,2020/02/05 22:15:00,--,西安咸阳,2020/02/06 00:35:00,--,昆明长水,取消
3U8548,--,2020/02/05 10:10:00,--,北京首都,2020/02/05 13:30:00,--,成都双流,取消
3U8556,--,2020/02/05 10:30:00,--,广州白云,2020/02/05 13:15:00,--,成都双流,取消
3U8567,四川航空股份有限公司,2020/02/05 06:55:00,2020/02/05 07:05:00,哈尔滨太平,2020/02/05 09:25:00,2020/02/05 09:04:00,天津滨海,到达
3U8567,四川航空股份有限公司,2020/02/05 06:55:00,2020/02/05 07:05:00,哈尔滨太平,2020/02/05 13:00:00,2020/02/05 12:27:00,兰州中川,到达
3U8567,四川航空股份有限公司,2020/02/05 10:25:00,2020/02/05 10:19:00,天津滨海,2020/02/05 13:00:00,2020/02/05 12:27:00,兰州中川,到达
3U8568,四川航空股份有限公司,2020/02/05 13:55:00,2020/02/05 13:49:00,兰州中川,2020/02/05 16:00:00,2020/02/05 15:45:00,天津滨海,到达
3U8568,四川航空股份有限公司,2020/02/05 13:55:00,2020/02/05 13:49:00,兰州中川,2020/02/05 19:15:00,2020/02/05 18:44:00,哈尔滨太平,到达
3U8568,四川航空股份有限公司,2020/02/05 17:05:00,2020/02/05 17:00:00,天津滨海,2020/02/05 19:15:00,2020/02/05 18:44:00,哈尔滨太平,到达
3U8574,--,2020/02/05 09:05:00,--,西双版纳嘎洒,2020/02/05 10:55:00,--,成都双流,取消
3U8581,--,2020/02/05 17:20:00,--,杭州萧山,2020/02/05 20:35:00,--,哈尔滨太平,取消
3U8582,--,2020/02/05 21:35:00,--,哈尔滨太平,2020/02/06 00:55:00,--,杭州萧山,取消
3U8617,四川航空股份有限公司,2020/02/05 13:20:00,2020/02/05 13:33:00,成都双流,2020/02/05 16:10:00,2020/02/05 15:37:00,香港,到达
3U8618,四川航空股份有限公司,2020/02/05 17:25:00,2020/02/05 17:28:00,香港,2020/02/05 20:10:00,2020/02/05 19:42:00,成都双流,到达
