name	area	block	address	sale_num	build_year	mid_price	image	url	all_num
紫玉兰庭	碑林区	文艺路	明胜街28号	38	2010年	16153	https://pic1.ajkimg.com/display/ajk/c90b9af6146350a411cc624c16d10f78/180x135c.jpg	https://m.anjuke.com/xa/community/313577/	526户
枫绿国际住宅小区	碑林区	环城南路	朱雀大街北段132号	24	2012年	12761	https://pic1.ajkimg.com/display/ajk/b4f0c91343eca0ddcde0c3f6a8a36ad8/180x135c.jpg	https://m.anjuke.com/xa/community/879530/	476户
摩登主场	碑林区	南稍门	新文巷11号	50	2007年	17726	https://pic1.ajkimg.com/display/ajk/4863be1586ad6216179af4ecc30b836c/180x135c.jpg	https://m.anjuke.com/xa/community/275041/	676户
西安公馆	碑林区	南稍门	朱雀东坊路	0	2015年	13320	https://pic1.ajkimg.com/display/ajk/ed7114f5cf28b685cdd4b9522a3f98f2/180x135c.jpg	https://m.anjuke.com/xa/community/788230/	1488户
东方星座	碑林区	东关正街	柿园路196号	101	2005年	11728	https://pic1.ajkimg.com/display/ajk/c6f4381b22b5a47b1d55f55e96282d2a/180x135c.jpg	https://m.anjuke.com/xa/community/274863/	900户
北沙庄园	碑林区	西安交通大学	金花南路1号	36		12426	https://pic1.ajkimg.com/display/ajk/49dfe24acacc97815e3dd56c42481958/180x135c.jpg	https://m.anjuke.com/xa/community/368620/	480户
艺校家属院	碑林区	李家村	文艺路111号	3	2008年	9631	https://pic1.ajkimg.com/display/ajk/c599bcafb477149b40131efe39563dce/180x135c.jpg	https://m.anjuke.com/xa/community/576551/	60户
兴庆熙园	碑林区	东关南街	东关南街8号	36	2009年	13940	https://pic1.ajkimg.com/display/ajk/f2a76898b61ef67661e02efa62359370/180x135c.jpg	https://m.anjuke.com/xa/community/274641/	657户
柿园坊小区	碑林区	东关正街	新郭门路	66	2002年	11815	https://pic1.ajkimg.com/display/ajk/29ed1d1c197fb704b2e13c2a4e2ff7f0/180x135c.jpg	https://m.anjuke.com/xa/community/303597/	435户
马厂子小区	碑林区	大差市	县门北巷	6	1998年	10687	https://pic1.ajkimg.com/display/ajk/0e99595b2566e13a0b34f497db917729/180x135c.jpg	https://m.anjuke.com/xa/community/310655/	210户
金叶长乐居	碑林区	长乐坊	长乐坊路299号	31	2007年	13337	https://pic1.ajkimg.com/display/ajk/5fc04781d4aacb92dfd1bb791c000dda/180x135c.jpg	https://m.anjuke.com/xa/community/274804/	773户
新兴新庆坊	碑林区	东关正街	互助路15号	15	2014年	19989	https://pic1.ajkimg.com/display/ajk/33d0d87067ee9f88c2dbb0d938c6865a/180x135c.jpg	https://m.anjuke.com/xa/community/614817/	907户
发改委家属院	碑林区	南稍门	文艺南路	25	1990年	10964	https://pic1.ajkimg.com/display/ajk/b75ab068562e7e081da8c67a473d647b/180x135c.jpg	https://m.anjuke.com/xa/community/613673/	64户
仁厚庄园	碑林区	长乐坊	仁厚庄北路15号	16	2001年	12722	https://pic1.ajkimg.com/display/ajk/82bdb2266c4a37e598e41742038c183b/180x135c.jpg	https://m.anjuke.com/xa/community/829874/	1527户
朱雀坊	碑林区	红缨路	红缨路,近邮电南巷	4	2014年	13162	https://pic1.ajkimg.com/display/ajk/44c9d730c5dbfd239892867f209a952e/180x135c.jpg	https://m.anjuke.com/xa/community/330430/	1656户
东关小区	碑林区	长乐坊	更新街100号	6	2002年	10231	https://pic1.ajkimg.com/display/ajk/cccdd66182a67b712e417338028cfdb2/180x135c.jpg	https://m.anjuke.com/xa/community/300196/	472户
立丰公寓	碑林区	李家村	安东街66号	27	2008年	11229	https://pic1.ajkimg.com/display/ajk/af583410af40198e14657498f01c79a0/180x135c.jpg	https://m.anjuke.com/xa/community/307570/	270户
骊马豪城	碑林区	南稍门	新文巷29号	22	2005年	13891	https://pic1.ajkimg.com/display/ajk/d4fe39bdd5f613ce755f59d6af090ffa/180x135c.jpg	https://m.anjuke.com/xa/community/413803/	386户
乐居场小区	碑林区	太乙路	乐居场60号	18	2003年	10188	https://pic1.ajkimg.com/display/ajk/a482ffffb9009168e519da468c8d8a79/180x135c.jpg	https://m.anjuke.com/xa/community/306114/	2717户
佳和苑	碑林区	南稍门	新文巷31号	6	2001年	11171	https://pic1.ajkimg.com/display/ajk/0d940ee3d8490cd1fd17a3bd4326228b/180x135c.jpg	https://m.anjuke.com/xa/community/274927/	627户
超英长乐家园	碑林区	长乐坊	景龙池88号	46	2003年	12022	https://pic1.ajkimg.com/display/ajk/0f822df07ac11e623b2a300eccb7520b/180x135c.jpg	https://m.anjuke.com/xa/community/274854/	414户
郦景豪庭	碑林区	太乙路	环城南路	27	2007年	12754	https://pic1.ajkimg.com/display/ajk/38c926ff0301205c7759b13a8ad0289a/180x135c.jpg	https://m.anjuke.com/xa/community/316697/	429户
长征左邻右舍(东区)	碑林区	文艺路	建西街136号	21	2005年	12740	https://pic1.ajkimg.com/display/ajk/f6d92fba93a04f3355922528324a9b06/180x135c.jpg	https://m.anjuke.com/xa/community/831130/	266户
太白星座	碑林区	边家村	太白北路199号	17	2013年	15783	https://pic1.ajkimg.com/display/ajk/8e0b6bc795b01aa9029e9413bb433d5d/180x135c.jpg	https://m.anjuke.com/xa/community/413818/	588户
东泰城市之光南区	碑林区	边家村	边西街29号	35	2011年	22555	https://pic1.ajkimg.com/display/ajk/143b2967c4d2bd3afcd61b97485de6ac/180x135c.jpg	https://m.anjuke.com/xa/community/831297/	800户
下马陵社区	碑林区	和平路	东仓门,近西八道巷	9		10827	https://pic1.ajkimg.com/display/ajk/1aeee5816db1a708191db4d7db65142a/180x135c.jpg	https://m.anjuke.com/xa/community/1062208/	112户
景致雅居	碑林区	南稍门	新文巷98号	29	2004年	14886	https://pic1.ajkimg.com/display/ajk/e39b612238ceb2ef5c421187a8be1562/180x135c.jpg	https://m.anjuke.com/xa/community/274258/	305户
古迹岭小区	碑林区	东关正街	东关南街	14	1998年	9870	https://pic1.ajkimg.com/display/ajk/9952b5b12091daeefff55dd1080b8ea0/180x135c.jpg	https://m.anjuke.com/xa/community/303566/	1009户
友谊小区	碑林区	李家村	测绘西路139号	1	1999年	10772	https://pic1.ajkimg.com/display/ajk/c52079339c64f88e1e92bd135875fdbd/180x135c.jpg	https://m.anjuke.com/xa/community/299755/	672户
公安五处小区	碑林区	友谊西路	友谊西路188号	6	2004年	13201	https://pic1.ajkimg.com/display/ajk/fb385b04133818f43945606330887f26/180x135c.jpg	https://m.anjuke.com/xa/community/306484/	873户
湖景嘉苑	碑林区	东关南街	柿园路6号	38	2005年	11453	https://pic1.ajkimg.com/display/ajk/45a8fbd25692f774dd105bbef04d1f78/180x135c.jpg	https://m.anjuke.com/xa/community/274669/	176户
合能朱阙	碑林区	环城南路	朱雀大街72号	5	2016年	10634	https://pic1.ajkimg.com/display/ajk/5974c868d0435ad2eae6ac31dcb308a3/180x135c.jpg	https://m.anjuke.com/xa/community/767175/	785户
简爱十六楼	碑林区	西安交通大学	交大商场街	8	2007年	11139	https://pic1.ajkimg.com/display/ajk/7a4d9db6b1a8faee188f3fa414e15037/180x135c.jpg	https://m.anjuke.com/xa/community/321387/	84户
西安晚报家属院	碑林区	南大街	四府街33号	7		12085	https://pic1.ajkimg.com/display/ajk/ef5456039db3524d1f71e04a7eb69406/180x135c.jpg	https://m.anjuke.com/xa/community/609703/	531户
柠檬公寓	碑林区	何家村	含光路	22	2004年	12665	https://pic1.ajkimg.com/display/ajk/3d1c302a5b8577477b96b05c3b7f81ac/180x135c.jpg	https://m.anjuke.com/xa/community/275157/	336户
阳光里	碑林区	和平路	玄风桥南巷	2	2009年	15358	https://pic1.ajkimg.com/display/ajk/8ee74005c3301b884c12004570b627a5/180x135c.jpg	https://m.anjuke.com/xa/community/304296/	336户
